Anmerkungen,Ort Motiv,Koordinaten Motiv,Jahr Motiv,Titel,Untertitel,Ort Verlag,Verlag,Nummer,Schlagwörter,Mitarbeiter/Fotograf,Absendeort,Absendeort Koordinaten,Empfangsort,Empfangsort Koordinaten,Anzahl Menschen,Jahr Motiv bereinigt,Land
,Adamswalde,"53.1733333333333,12.9366666666667",1964,Ferienheim Adamswalde,,Markkleeberg / Leipzig,"H.C.  Schmiedicke (VOB), Kunstverlag, 701 Leipzig",III/18/117 L 23/64,1960er; 1964; Bezirk Potsdam; Detail - Aschenbecher; Detail - Bild; Detail - Bild - Walter Ulbricht; Ferienheim - Ort - Adamswalde; Fotografie - Außen- und Innenansicht; Fotografie - Laub - von oben; gelaufen - 1964 - 07 - 18; gelaufen 1960er; gelaufen 1964; Kreis Neuruppin; Menschen - keine; Möbel - Gardinen; Möbel - Lampen; Möbel - Lampen - Deckenlampen; Möbel - Radiotruhe; Möbel - Sessel; Möbel - Teppich; nach: Leipzig; Nachricht - Abschiedsformel - Mit bestem Gruß; Nachricht - Anredeformel - Werte Frau; Nachricht - Datum - 25.7.64; Nachricht - Lebensmittel - Heidelbeeren; Nachricht - Organisation - Lieferung; Name - Karl; Natur - Bäume; Ort - Adamswalde; Ort - Adamswalde - Ferienheim; Per - Karl Philipp; See - Großer Pälitzsee; Stempel - Tagesstempel - RHEINSBERG (MARK) a; von: Rheinsberg,"Meißner, L. [Rheinsberg/Mark]",Rheinsberg,"53.100434,12.889944",Leipzig,"51.3406321,12.3747329",0,1964,Germany
,Adamswalde,"53.1733333333333,12.9366666666667",1983,ADAMSWALDE AM PÄLITZSEE - BETRIEBSFERIENHEIM DES VEB BAUKOMBINAT LEIPZIG,Betriebsferienheim des VEB Baukombinat // Leipzig // 1961 Adanswakde/ Post Kleinzerlang,Reichenbach (Vogtl),BILD UND HEIMAT REICHENBACH (VOGTL),A 1/B 623/83 IV-14-483 01 04 11 367 K,"1980er; 1983; Betriebsferienheim; Betriebsferienheim - VEB Baukombinat Leipzig; Bezirk Potsdam; Briefmarke - Aufbau in der DDR - Kleinformat - Palast der Republik, Berlin; Ferienheim - Ort - Adamswalde - Betriebsferienheim VEB Baukombinat Leipzig; Fotografie - Innenaufnahme; Fotografie - Nachtaufnahme; Fotografie - Panorama; Ins - VEB Baukombinat Leipzig; Kleidung - Schwimmring; Kreis Neuruppin; Landschaft; Menschen - Familie; nach: Leipzig; Nachricht - Anredeformel - Liebe Hausbewohner; Nachricht - Bezug zur Bildseite; Nachricht - Unterkunft; Nachricht - Wetter - lässt zu wünschen übrig; Ort - Adamswalde; Ort - Adamswalde - Betriebsferienheim VEB Baukombinat Leipzig; Ort - Kleinzerlang; Raumtyp - Speiseraum; See; See - Pälitzsee; Stadtdetail - Gehwegplatten; Stempel - Tagesstempel - NEURUPPIN 1 m; Tätigkeit - Baden; Tätigkeit - Blick zur Kamera; von: Neuruppin",Lüttig,Neuruppin,"52.922222222222,12.8",Leipzig,"51.3406321,12.3747329",0,1983,Germany
,Adorf/Vogtl.,"50.316666666667,12.266666666667",1964,Adorf i. Vogtl.,,Erlbach i.V.,"Dick-Foto-Verlag,  Erlbach i.V.",III/23/27 III/23/3 K 1/64,1960er; 1964; Baustelle; Baustelle - Baugerüst; Bautyp - Kirche; Bautyp - Neubaublocks - im Bau; Bautyp - Schornstein - Industrieschornstein; Bezirk Karl-Marx-Stadt; Fotografie - Panorama; Himmel - Wolken; Kreis Oelsnitz; Landschaft - Vogtland; Menschen - keine; Natur - Gras; Ort - Adorf; ungelaufen,,o.A.,,o.A.,,0,1964,Germany
,Adorf/Vogtl.,"50.316666666667,12.266666666667",1968,"Adorf i. Vogtl. // Karl-Liebknecht-Straße mit ""Vogtland-Lichtspiele""",,Erlbach i.V.,"Dick-Foto-Verlag, Erlbach i.V.",III 23 4 K 1 68 Nr. 2287/8,1960er; 1968; Archigrafie; Archigrafie - Lichtspiele; Bautyp - Neubaublöcke; Bezirk Karl-Marx-Stadt; Briefmarke - 1970 - 25 Jahre Deutsche Volkspolizei - Funkstreifenwagen GAZ M-21 Wolga; DDR - Österreich; Detail - Antennen; Detail - Laterne; Fotografie - Laub - von links; Fotografie - Laub - von rechts; gelaufen 1970; Kino; Kino - Ort - Adorf - Vogtland-Lichtspiele; Kreis Oelsnitz; Landschaft - Vogtland; Menschen - Passanten; Mutter mit Kinderwagen; nach: Vordernberg (Österreich); Nachricht - Urlaubsgrüße - aus Ostdeutschland; Name - Josef; Name - Matthias; Ort - Adorf; Ort - Adorf - Karl-Liebknecht-Straße; Ort - Adorf - Vogtland-Lichtspiele; Per - Josef Zoller; Per - Matthias Oudrich; Stadtdetail - Laterne - Peitschenlampe; Stempel - Tagesstempel - Adorf; Straße - Karl-Liebknecht-Straße - Adorf; Verkehr - Auto - Trabant; Verkehrszeichen - Vorfahrtsstraße; von: Adorf,,Adorf,"50.316666666667,12.266666666667",Vordernberg (Österreich),"47.488055555556,14.993333333333",0,1968,Germany
,Ahrensdorf,"52.3136,13.2042",1970,Ahrendsdorf,Ferienheim der VEB Leuna-Werke,Berlin,Graphokopie H.  Sander KG 1071 Berlin,B 8/70 Best.-Nr. E1196,"1970; 1970er; Bautyp - Bungalow; Bezirk Neubrandenburg; Briefmarke - Staatsratsvorsitzender Walter Ulbricht - grün, 10 Pf; Ferienheim; Ferienheim - Ort - Ahrensdorf - Ferienheim der VEB Leuna-Werke; gelaufen 1970er; Ins - VEB Leuna-Werke; Kreis Templin; Menschen - 7; Menschen - Kinder; nach: Gröbitz; Nachricht - Anrede - Familie; Nachricht - Bezug zur Bildseite; Nachricht - Grüße - aus Ahrensdorf; Nachricht - Unterkunft - Bungalow; Name - Helga; Name - Rudi; Name - Wolfgang; Natur - Wald; Natur - Wiese; Per - Rudi Hocke; Philokartie - bildseitige Markierung; Philokartie - Eindruck - Logo Graphokopie H Sander; Spielgerät - Ball; Spielgerät - Karrussell; Stempel - Tagesstempel - Templin; Tätigkeit - Halten - Ball; Tätigkeit - Rennen; Tätigkeit - Sitzen; Tätigkeit - Spielen; Tourismus - Ferienheim; von: Templin",,Templin,"53.121686,13.508255",Gröbitz,"51.13468,11.92448",7,1970,Germany
,Ahrensdorf,"52.3136,13.2042",1976,"Betriebsferienheim ""Wilhelm Pieck"" // VEB Leunawerke ""Walter Ulbricht"" // 2091 Ahrensdorf, Kreis Templin // Bungalow-Siedlung",,Berlin,Planet-Verlag,A 4/76 IV-14-483 02 03 11 201,"Bautyp - Bungalow; Betriebsferienheim; Bezirk Neubrandenburg; Briefmarke - Aufbau in der DDR - Großformat Neptunbrunnen und Wohnhochhaus, Rathausstraße, Berlin (Ersttag 10.04.1973); Ferienheim - Ort - Ahrensdorf - Ferienheim der VEB Leuna-Werke; gelaufen - 1978 - 08 - 17; gelaufen 1978; Ins - VEB Leuna-Werke; Kreis Templin; Menschen - 2; Möbel - Liegestuhl; nach: Halle / Saale; Nachricht - An die Eltern; Nachricht - Ankunft; Nachricht - Pilze sammeln; Nachricht - Unterkunft; Nachricht - Verpflegung - gut; Name - Elsa; Name - Fritz; Name - Horst; Natur - Baum - Kiefern; Ort - Ahrensdorf; Per - Fritz Böhm; Spielgerät - Sandkasten; Stempel - Tagesstempel - Templin; Tätigkeit - Sitzen; Tourismus - Ferienheim; von: Templin",,Templin,"53.121686,13.508255",Halle / Saale,"51.48277777777778,11.969722222222222",2,1976,Germany
,Ahrensdorf,"52.3136,13.2042",1980,"Ahrensdorf (Kr. Templin). Erholungsheim ""Seehof""",,Reichenbach (Vogtl),BILD UND  HEIMAT REICHENBACH (VOGTL),V 11 50 A 1/B 257/80 Z 01 03 11 137 K,Architektur; Baudetail - Wand - Strukturwand; Bezirk Neubrandenburg; Erholungsheim; Himmel - wolkig; Kreis Templin; Natur - Baum; Ort - Ahrensdorf; Tourismus - Ferienheim,,o.A.,,o.A.,,2,1980,Germany
,Ahrensfelde,"52.576194,13.575278",1983,Ahrensfelde Kr. Bernau,1 BHG-Verkaufsstelle in der Dorfstraße // 2 Bus-Endhaltestelle in der Lindenberger Straße // 3 Dorfstraße mit Gemeindeamt // 4 Elli-Voigt-Oberschule,Reichenbach (Vogtl),BILD UND HEIMAT REICHENBACH (VOGTL),A 1/B 452/83 IV-14-483 01 05 03 139,1980er; 1983; Bezirk Frankfurt Oder; Einzelhandel - Art - BHG; Kirche; Kreis Bernau; Nachricht - Brief erhalten; Nachricht - Hilfe; Name - Gerd; Name - Gerhard; Natur - Baum; Ort - Ahrensfelde; Ort - Ahrensfelde - Dorfstraße; Ort - Ahrensfelde - Elli-Voigt-Oberschule; Ort - Ahrensfelde - Gemeindeamt; Ort - Ahrensfelde - Lindenberger Straße; Schule; Schule - Ort - Ahrensfelde - Elli-Voigt-Oberschule; Straße - Dorfstraße - Ahrensfelde; Straße - Lindenberger Straße - Ahrensfelde; ungelaufen - beschrieben; Verkehr - Auto - Wartburg; Verkehr - Bus; Verkehr - Bus - Ikarus; Verkehr - Bushaltestelle; Verwaltung - Art - Rat der Gemeinde,"Kampmann, [Berlin]",o.A.,,o.A.,,2,1983,Germany
,Ahrenshoop,"54.381388888889,12.42",1971,"Ostseebad Ahrenshoop // Reisebüro der Deutschen Demokratischen // Republik // Erholungsheime // ""Kurhaus Ahrenshoop"" Empfangshalle",,Reichenbach (Vogtl),BILD UND  HEIMAT REICHENBACH (VOGTL),III/18/203 A 1 B 543/71 1/7355,1970er; 1971; Baudetail - Tür; Bezirk Rostock; Detail - Zimmerpflanze; Fotografie - Innenaufnahme; Innenarchitektur; Kreis Ribnitz-Damgarten; Möbel - Lampe - Hängelampe; Möbel - Raumtrenner; Möbel - Sessel; Möbel - Spiegel; Möbel - Tische; Ort - Ahrenshoop; Ort - Ahrenshoop - Kulturhaus; Raumtyp - Empfangshalle; Spiegelung; ungelaufen,"Darr, [Bild und Heimat]",o.A.,,o.A.,,2,1971,Germany
,Ahrenshoop,"54.381388888889,12.42",1981,Ostseebad Ahrenshoop // Kurhaus,,Reichenbach (Vogtl),BILD UND HEIMAT REICHENBACH (VOGTL),A 1/B 588/81 IV-14-483 06 01 03 666,1980er; 1981; Archigrafie - Kurhaus; Archigrafie - Signet DDR Reisebüro; Architekt - Egon Hoffmann; Architektur; Autos; Bezirk Rostock; Kennzeichen - AB 73 17; Kennzeichen - IX 92 25; Kennzeichen - LF 11 87; Kreis Ribnitz-Damgarten; Kurhaus; Menschen - Personen - 3; Natur - Bäume; Ort - Ahrenshoop; Strand; Tätigkeit - sich umziehen; Verkehr - Auto - Trabant; Verkehr - Auto - Wartburg; Verkehr - Parkplatz,Melzer,o.A.,,o.A.,,3,1981,Germany
